Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
PC,Microsoft,1998,Vivendi Games,0.0,0.03,0.0,0.0,0.03,Impressions Games
PC,Microsoft,2006,Ubisoft,0.0,0.03,0.0,0.01,0.03,Ascaron Entertainment GmbH
PS3,Sony,2007,Genki,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2002,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,Konami
GC,Nintendo,2005,Activision,0.03,0.01,0.0,0.0,0.03,FUN Labs
Wii,Nintendo,2007,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
GBA,Nintendo,2003,Ubisoft,0.02,0.01,0.0,0.0,0.03,Ubisoft Shanghai
PS3,Sony,2011,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
3DS,Nintendo,2012,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Other
PS,Sony,1998,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,Other
PC,Microsoft,2006,Eidos Interactive,0.0,0.03,0.0,0.01,0.03,Io Interactive
DS,Nintendo,2006,D3Publisher,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2009,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
PS4,Sony,2016,Gearbox Software,0.03,0.0,0.0,0.01,0.03,Gearbox Software
PC,Microsoft,2009,SouthPeak Games,0.02,0.01,0.0,0.0,0.03,TimeGate Studios
PS2,Sony,2006,Princess Soft,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2010,Sega,0.0,0.03,0.0,0.01,0.03,Obsidian Entertainment
PC,Microsoft,1998,Interplay,0.01,0.02,0.0,0.0,0.03,Black Isle Studios
PS2,Sony,2002,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2008,Destineer,0.03,0.0,0.0,0.0,0.03,Coresoft
GC,Nintendo,2003,Acclaim Entertainment,0.03,0.01,0.0,0.0,0.03,Other
DS,Nintendo,2008,505 Games,0.03,0.0,0.0,0.0,0.03,Legacy Interactive
3DS,Nintendo,2015,Koch Media,0.0,0.03,0.0,0.0,0.03,Ravenscourt
GBA,Nintendo,2001,BAM! Entertainment,0.02,0.01,0.0,0.0,0.03,Crawfish Interactive
PC,Microsoft,2003,Activision,0.0,0.03,0.0,0.0,0.03,Raven Software
GC,Nintendo,2003,THQ,0.03,0.01,0.0,0.0,0.03,Cranky Pants Games
3DS,Nintendo,2015,Extreme Entertainment Group,0.02,0.0,0.01,0.0,0.03,Other
PS4,Sony,2016,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2011,Hudson Soft,0.0,0.0,0.03,0.0,0.03,Other
WS,Other,2001,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2003,Atari,0.02,0.01,0.0,0.0,0.03,Lost Toys
PC,Microsoft,2005,Empire Interactive,0.0,0.03,0.0,0.0,0.03,Other
XB,Microsoft,2005,Hip Interactive,0.03,0.01,0.0,0.0,0.03,Asobo Studio
PS2,Sony,2007,Spike,0.0,0.0,0.03,0.0,0.03,Spike
Wii,Nintendo,2007,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2007,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2004,Capcom,0.02,0.01,0.0,0.0,0.03,DreamFactory
PS2,Sony,2004,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,Natsume
PSP,Sony,2005,Sony Computer Entertainment,0.02,0.01,0.0,0.0,0.03,Traveller's Tales
DS,Nintendo,2008,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PS,Sony,1996,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,Other
3DS,Nintendo,2013,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2014,Big Fish Games,0.0,0.03,0.0,0.0,0.03,Playrix Entertainment
GC,Nintendo,2005,Activision,0.03,0.01,0.0,0.0,0.03,MagicWand
WiiU,Nintendo,2014,Namco Bandai Games,0.01,0.02,0.0,0.0,0.03,Little Orbit
X360,Microsoft,2006,Activision,0.03,0.0,0.0,0.0,0.03,FUN Labs
PS3,Sony,2011,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Other
GBA,Nintendo,2005,Atari,0.02,0.01,0.0,0.0,0.03,Other
PS3,Sony,2009,Black Bean Games,0.0,0.02,0.0,0.01,0.03,Milestone S.r.l
GEN,Sega,1993,Acclaim Entertainment,0.0,0.0,0.03,0.0,0.03,Other
3DS,Nintendo,2014,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2011,Comfort,0.0,0.0,0.03,0.0,0.03,Other
GBA,Nintendo,2001,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2009,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
GBA,Nintendo,2002,Conspiracy Entertainment,0.02,0.01,0.0,0.0,0.03,Other
PSP,Sony,2006,Banpresto,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2013,Idea Factory,0.0,0.0,0.03,0.0,0.03,Other
GC,Nintendo,2003,Eidos Interactive,0.03,0.01,0.0,0.0,0.03,Climax Group
DS,Nintendo,2008,Arc System Works,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2007,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2008,Phenomedia,0.03,0.0,0.0,0.0,0.03,MumboJumbo
PS4,Sony,2015,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,CyberConnect2
PS,Sony,2001,Berkeley,0.02,0.01,0.0,0.0,0.03,Other
PS3,Sony,2012,Sega,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2007,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PS3,Sony,2015,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PS,Sony,1996,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,Other
PS2,Sony,2007,Hackberry,0.0,0.0,0.03,0.0,0.03,Other
SNES,Nintendo,1994,Culture Brain,0.0,0.0,0.03,0.0,0.03,Other
X360,Microsoft,2011,D3Publisher,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2008,"Destination Software, Inc",0.03,0.0,0.0,0.0,0.03,Other
3DS,Nintendo,2015,Rocket Company,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2008,Mamba Games,0.0,0.03,0.0,0.01,0.03,Ice-Pick Lodge
PS,Sony,1998,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,Other
PC,Microsoft,2011,Paradox Interactive,0.0,0.03,0.0,0.01,0.03,BattleGoat Studios
PC,Microsoft,2006,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03,Big Huge Games
GC,Nintendo,2003,Ubisoft,0.03,0.01,0.0,0.0,0.03,Ubisoft Shanghai
GBA,Nintendo,2005,Play It,0.02,0.01,0.0,0.0,0.03,Other
3DS,Nintendo,2013,Agatsuma Entertainment,0.0,0.0,0.03,0.0,0.03,Studio Saizensen
PC,Microsoft,2014,Ubisoft,0.0,0.03,0.0,0.0,0.03,Other
PS,Sony,1995,Fuji,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2008,Aspyr,0.03,0.0,0.0,0.0,0.03,Nobilis
PSP,Sony,2009,Aqua Plus,0.0,0.0,0.03,0.0,0.03,Other
SNES,Nintendo,1994,Banpresto,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2002,Capcom,0.02,0.01,0.0,0.0,0.03,Arika
Wii,Nintendo,2010,Zoo Games,0.03,0.0,0.0,0.0,0.03,Other
PC,Microsoft,2011,Avanquest,0.01,0.02,0.0,0.01,0.03,"Viva Media, Viva Media, LLC"
DS,Nintendo,2009,Alchemist,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2011,Avanquest,0.01,0.02,0.0,0.0,0.03,Other
WiiU,Nintendo,2015,Level 5,0.0,0.0,0.03,0.0,0.03,Other
Wii,Nintendo,2007,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,Conspiracy Entertainment
DS,Nintendo,2011,Unknown,0.03,0.0,0.0,0.0,0.03,"CyberPlanet Interactive Public Co., Ltd., Maximum Family Games"
DS,Nintendo,2008,Midas Interactive Entertainment,0.0,0.03,0.0,0.0,0.03,Other
PSP,Sony,2006,Daito,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2010,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2006,Take-Two Interactive,0.0,0.03,0.0,0.01,0.03,Arkane Studios
PS3,Sony,2011,Prototype,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2005,Nintendo,0.01,0.0,0.02,0.0,0.03,Indies Zero
PS4,Sony,2016,Ubisoft,0.02,0.0,0.0,0.01,0.03,Ubisoft Paris
PS,Sony,1996,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,Other
PC,Microsoft,2011,Black Bean Games,0.0,0.03,0.0,0.01,0.03,Other
PC,Microsoft,2001,Eidos Interactive,0.0,0.03,0.0,0.0,0.03,Other
XB,Microsoft,2003,Microsoft Game Studios,0.0,0.0,0.03,0.0,0.03,Other
Wii,Nintendo,2010,Nordic Games,0.03,0.0,0.0,0.0,0.03,Other
GBA,Nintendo,2002,LSP Games,0.02,0.01,0.0,0.0,0.03,LSP
PS4,Sony,2015,FuRyu Corporation,0.03,0.0,0.0,0.01,0.03,Voxler
PC,Microsoft,2011,THQ,0.03,0.0,0.0,0.0,0.03,ValuSoft
Wii,Nintendo,2008,Rondomedia,0.03,0.0,0.0,0.0,0.03,Cerasus Media
PS3,Sony,2015,Capcom,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2011,Her Interactive,0.03,0.0,0.0,0.0,0.03,Her Interactive
GBA,Nintendo,2006,Electronic Arts,0.02,0.01,0.0,0.0,0.03,EA Canada
X360,Microsoft,2008,RTL,0.03,0.0,0.0,0.0,0.03,Other
GBA,Nintendo,2002,Vivendi Games,0.02,0.01,0.0,0.0,0.03,Super Empire
3DS,Nintendo,2011,D3Publisher,0.0,0.03,0.0,0.0,0.03,Tamsoft
PSP,Sony,2006,Global A Entertainment,0.03,0.0,0.0,0.0,0.03,Global A
PC,Microsoft,2001,Microsoft Game Studios,0.0,0.03,0.0,0.0,0.03,Other
PS3,Sony,2014,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
3DS,Nintendo,2013,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2006,Sony Computer Entertainment,0.03,0.0,0.0,0.0,0.03,Namco Bandai Games
3DS,Nintendo,2014,imageepoch Inc.,0.0,0.0,0.03,0.0,0.03,Other
WiiU,Nintendo,2012,Atlus,0.0,0.03,0.0,0.0,0.03,Other
DS,Nintendo,2007,Nintendo,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2005,Konami Digital Entertainment,0.03,0.0,0.0,0.0,0.03,Genki
GBA,Nintendo,2005,Atari,0.02,0.01,0.0,0.0,0.03,Velez & Dubail
DS,Nintendo,2010,Ubisoft,0.03,0.0,0.0,0.0,0.03,Ubisoft
PC,Microsoft,2010,Just Flight,0.0,0.03,0.0,0.0,0.03,Gaijin Entertainment
PS3,Sony,2009,Deep Silver,0.0,0.03,0.0,0.01,0.03,Other
DS,Nintendo,2007,Rising Star Games,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2009,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2009,Ubisoft,0.0,0.03,0.0,0.0,0.03,Techland
PS3,Sony,2015,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2009,THQ,0.0,0.03,0.0,0.01,0.03,"Volition Inc., Reactor Zero"
PS3,Sony,2012,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
3DS,Nintendo,2015,Rocket Company,0.0,0.0,0.03,0.0,0.03,Other
GC,Nintendo,2002,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.03,KCEO
3DS,Nintendo,2013,Unknown,0.0,0.03,0.0,0.0,0.03,Other
PSV,Sony,2015,Bigben Interactive,0.0,0.03,0.0,0.01,0.03,HB Studios Multimedia
3DS,Nintendo,2013,Office Create,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2007,Game Factory,0.03,0.0,0.0,0.0,0.03,Neko Entertainment
DS,Nintendo,2007,TDK Core,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2016,Codemasters,0.0,0.03,0.0,0.0,0.03,Other
GC,Nintendo,2003,Capcom,0.03,0.01,0.0,0.0,0.03,Other
PC,Microsoft,2016,Square Enix,0.0,0.03,0.0,0.0,0.03,"Eidos Montreal, Nixxes Software"
PSV,Sony,2013,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2008,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2006,Ubisoft,0.03,0.0,0.0,0.0,0.03,Sonnori
PS2,Sony,2006,505 Games,0.02,0.01,0.0,0.0,0.03,Other
PS,Sony,2000,Tecmo Koei,0.02,0.01,0.0,0.0,0.03,Other
3DS,Nintendo,2016,Sega,0.03,0.0,0.0,0.0,0.03,Other
PC,Microsoft,2010,Ubisoft,0.0,0.03,0.0,0.0,0.03,Ubisoft Montreal
DS,Nintendo,2008,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2006,Spike,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2006,Electronic Arts,0.0,0.03,0.0,0.01,0.03,Maxis
PS3,Sony,2012,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
GBA,Nintendo,2005,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,Other
DS,Nintendo,2013,D3Publisher,0.0,0.03,0.0,0.0,0.03,Torus Games
XOne,Microsoft,2015,Telltale Games,0.03,0.0,0.0,0.0,0.03,Other
XB,Microsoft,2004,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.03,Game Arts
X360,Microsoft,2016,Telltale Games,0.01,0.02,0.0,0.0,0.03,Other
PC,Microsoft,2007,Focus Home Interactive,0.01,0.02,0.0,0.01,0.03,Big Fish Games
PSP,Sony,2006,Myelin Media,0.03,0.0,0.0,0.0,0.03,3G Studios
DS,Nintendo,2008,D3Publisher,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2007,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2009,GSP,0.0,0.03,0.0,0.01,0.03,MumboJumbo
3DS,Nintendo,2015,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,"Torus Games, Little Orbit"
DS,Nintendo,2007,Atari,0.03,0.0,0.0,0.0,0.03,Other
GBA,Nintendo,2001,Swing! Entertainment,0.02,0.01,0.0,0.0,0.03,Other
PC,Microsoft,2009,bitComposer Games,0.0,0.03,0.0,0.01,0.03,SimBin
X360,Microsoft,2009,PopCap Games,0.03,0.0,0.0,0.0,0.03,PopCap
DS,Nintendo,2010,Kamui,0.0,0.0,0.03,0.0,0.03,Other
PS4,Sony,2016,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Media Vision
DS,Nintendo,2012,GameMill Entertainment,0.03,0.0,0.0,0.0,0.03,CokeM Interactive
DS,Nintendo,2008,UFO Interactive,0.03,0.0,0.0,0.0,0.03,UFO Interactive
PS2,Sony,2008,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
SAT,Sega,1996,ASK,0.0,0.0,0.03,0.0,0.03,Other
3DS,Nintendo,2013,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2016,Insomniac Games,0.03,0.0,0.0,0.0,0.03,Insomniac Games
DS,Nintendo,2007,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,Magnin & Associates
PC,Microsoft,2012,Unknown,0.0,0.03,0.0,0.0,0.03,"Edmund McMillen, Florian Himsl"
SAT,Sega,1998,Compile,0.0,0.0,0.03,0.0,0.03,Other
Wii,Nintendo,2010,Nordic Games,0.03,0.0,0.0,0.0,0.03,Nordic Games Publishing
PS2,Sony,2008,Kadokawa Shoten,0.0,0.0,0.03,0.0,0.03,Other
PS3,Sony,2011,Konami Digital Entertainment,0.02,0.0,0.0,0.01,0.03,Other
3DS,Nintendo,2012,D3Publisher,0.0,0.0,0.03,0.0,0.03,Other
XB,Microsoft,2005,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.03,Tiwak
GBA,Nintendo,2005,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Zuxxez
PS4,Sony,2016,Nihon Falcom Corporation,0.0,0.0,0.03,0.0,0.03,Other
PSV,Sony,2015,Cygames,0.0,0.0,0.03,0.0,0.03,Other
PSV,Sony,2015,Kaga Create,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2009,Codemasters,0.0,0.03,0.0,0.0,0.03,Triumph Studios
DS,Nintendo,2007,Conspiracy Entertainment,0.03,0.0,0.0,0.0,0.03,Zen Studios
DS,Nintendo,2010,Arc System Works,0.01,0.0,0.02,0.0,0.03,Million
DS,Nintendo,2010,Foreign Media Games,0.02,0.01,0.0,0.0,0.03,Most Wanted Entertainment
DS,Nintendo,2007,UFO Interactive,0.03,0.0,0.0,0.0,0.03,FrontLine Studios
PS2,Sony,2008,Hackberry,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2012,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2008,HMH Interactive,0.0,0.03,0.0,0.0,0.03,Other
PSP,Sony,2010,Idea Factory,0.03,0.0,0.0,0.0,0.03,Opus Studio
PSP,Sony,2010,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Other
SAT,Sega,1995,Sega,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2008,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,"Gameinvest, Seed Studios, Lda"
PC,Microsoft,2016,Codemasters,0.0,0.03,0.0,0.0,0.03,Codemasters
PC,Microsoft,2014,Ubisoft,0.0,0.03,0.0,0.0,0.03,RedLynx
PS3,Sony,2009,System 3 Arcade Software,0.0,0.03,0.0,0.01,0.03,System 3
DS,Nintendo,2008,Square Enix,0.0,0.0,0.03,0.0,0.03,Other
PS4,Sony,2016,Introversion Software,0.01,0.01,0.0,0.01,0.03,"Introversion, Double Eleven"
PC,Microsoft,2011,Focus Home Interactive,0.0,0.03,0.0,0.01,0.03,Other
PSV,Sony,2013,FuRyu,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2009,Zushi Games,0.03,0.0,0.0,0.0,0.03,EM Studios
PSV,Sony,2015,Idea Factory,0.0,0.0,0.03,0.0,0.03,Other
Wii,Nintendo,2011,Unknown,0.03,0.0,0.0,0.0,0.03,Visual Impact
DS,Nintendo,2010,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2006,Sega,0.0,0.03,0.0,0.01,0.03,Creative Assembly
PSP,Sony,2005,Capcom,0.0,0.02,0.0,0.01,0.03,Capcom
DS,Nintendo,2007,Game Factory,0.03,0.0,0.0,0.0,0.03,Full Fat
PSV,Sony,2016,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Gust
PS2,Sony,2007,Idea Factory,0.0,0.0,0.03,0.0,0.03,Other
X360,Microsoft,2009,49Games,0.0,0.03,0.0,0.0,0.03,Other
3DS,Nintendo,2015,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PS3,Sony,2015,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
PS3,Sony,2008,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
X360,Microsoft,2015,Ubisoft,0.0,0.03,0.0,0.0,0.03,HB Studios Multimedia
PSV,Sony,2013,Rising Star Games,0.0,0.0,0.03,0.0,0.03,Zerodiv
PS3,Sony,2014,Activision,0.03,0.0,0.0,0.01,0.03,Cauldron Ltd.
PS3,Sony,2014,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
X360,Microsoft,2015,Telltale Games,0.02,0.0,0.0,0.0,0.03,Other
PS2,Sony,2006,Codemasters,0.02,0.01,0.0,0.0,0.03,Broadsword Interactive
GBA,Nintendo,2005,Atari,0.02,0.01,0.0,0.0,0.03,Other
DS,Nintendo,2009,Zushi Games,0.03,0.0,0.0,0.0,0.03,Frame Studios Interactive
PS,Sony,1996,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,Other
X360,Microsoft,2010,5pb,0.0,0.0,0.03,0.0,0.03,Other
SNES,Nintendo,1996,KSS,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2012,Avanquest Software,0.0,0.03,0.0,0.01,0.03,Other
PSV,Sony,2014,Idea Factory International,0.02,0.01,0.0,0.01,0.03,Other
GC,Nintendo,2003,Midway Games,0.02,0.01,0.0,0.0,0.03,Terminal Reality
PSP,Sony,2006,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,Microvision
PC,Microsoft,2007,Paradox Interactive,0.0,0.03,0.0,0.0,0.03,Big Time Software
PS3,Sony,2012,505 Games,0.0,0.02,0.0,0.01,0.03,505 Games
PSV,Sony,2015,dramatic create,0.0,0.0,0.03,0.0,0.03,Other
GC,Nintendo,2002,Electronic Arts,0.02,0.01,0.0,0.0,0.03,EA Sports
X360,Microsoft,2009,Cave,0.0,0.0,0.03,0.0,0.03,Other
SAT,Sega,1998,Capcom,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2013,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
SAT,Sega,1998,Media Works,0.0,0.0,0.03,0.0,0.03,Other
GBA,Nintendo,2003,Empire Interactive,0.02,0.01,0.0,0.0,0.03,Other
GBA,Nintendo,2003,LSP Games,0.02,0.01,0.0,0.0,0.03,LSP
PSP,Sony,2013,Idea Factory,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2006,Game Factory,0.03,0.0,0.0,0.0,0.03,Two Tribes
PC,Microsoft,2009,505 Games,0.01,0.02,0.0,0.0,0.03,Best Way
Wii,Nintendo,2007,Nintendo,0.0,0.0,0.03,0.0,0.03,Other
PSV,Sony,2015,Idea Factory,0.0,0.0,0.03,0.0,0.03,Otomate
DS,Nintendo,2008,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2010,Mindscape,0.02,0.0,0.0,0.0,0.03,Legacy Interactive
Wii,Nintendo,2010,Conspiracy Entertainment,0.03,0.0,0.0,0.0,0.03,Mentor Interactive
PSP,Sony,2004,505 Games,0.03,0.0,0.0,0.0,0.03,Magicpot
PSP,Sony,2010,D3Publisher,0.0,0.0,0.03,0.0,0.03,Other
PSV,Sony,2015,TGL,0.0,0.0,0.03,0.0,0.03,Other
XB,Microsoft,2006,Myelin Media,0.02,0.01,0.0,0.0,0.03,5000ft
DS,Nintendo,2011,Avanquest,0.0,0.03,0.0,0.0,0.03,Other
PSP,Sony,2010,Yeti,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2007,Konami Digital Entertainment,0.01,0.0,0.02,0.0,0.03,M2
PSV,Sony,2015,Bigben Interactive,0.0,0.02,0.0,0.01,0.03,Other
PSV,Sony,2014,5pb,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2006,Interchannel,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2009,Aspyr,0.0,0.03,0.0,0.01,0.03,Neversoft Entertainment
PC,Microsoft,2011,Unknown,0.0,0.02,0.0,0.01,0.03,Other
GC,Nintendo,2002,Midway Games,0.02,0.01,0.0,0.0,0.03,Midway
PS3,Sony,2014,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
X360,Microsoft,2008,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2002,Kemco,0.02,0.01,0.0,0.0,0.03,Kemco
PC,Microsoft,1985,Activision,0.0,0.03,0.0,0.01,0.03,"Viva Media, Viva Media, LLC"
PS2,Sony,2010,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
3DS,Nintendo,2012,Rising Star Games,0.03,0.0,0.0,0.0,0.03,ChunSoft
PS3,Sony,2013,Capcom,0.0,0.0,0.03,0.0,0.03,Iron Galaxy Studios
PC,Microsoft,2015,Activision,0.0,0.03,0.0,0.0,0.03,PlatinumGames
XOne,Microsoft,2015,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03,Milestone S.r.l
SAT,Sega,1998,KID,0.0,0.0,0.03,0.0,0.03,Other
X360,Microsoft,2008,DTP Entertainment,0.02,0.01,0.0,0.0,0.03,49Games
XOne,Microsoft,2014,Unknown,0.03,0.0,0.0,0.0,0.03,HB Studios Multimedia
DS,Nintendo,2009,Destineer,0.03,0.0,0.0,0.0,0.03,Other
PC,Microsoft,2002,Atari,0.0,0.03,0.0,0.0,0.03,BioWare
PS2,Sony,2009,AQ Interactive,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2008,DTP Entertainment,0.0,0.03,0.0,0.0,0.03,Other
PSV,Sony,2015,Kadokawa Games,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2010,Paradox Interactive,0.0,0.03,0.0,0.0,0.03,Nitro Games
PSP,Sony,2011,Quinrose,0.0,0.0,0.03,0.0,0.03,Other
X360,Microsoft,2013,Activision,0.0,0.03,0.0,0.0,0.03,Other
PSP,Sony,2009,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Other
GEN,Sega,1994,Sega,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2008,Game Factory,0.03,0.0,0.0,0.0,0.03,Neko Entertainment
PS3,Sony,2014,Activision,0.02,0.0,0.0,0.01,0.03,Activision
XB,Microsoft,2005,Atari,0.02,0.01,0.0,0.0,0.03,Bandai
Wii,Nintendo,2009,PQube,0.01,0.02,0.0,0.0,0.03,Arc System Works
DS,Nintendo,2008,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Other
XB,Microsoft,2004,SCi,0.02,0.01,0.0,0.0,0.03,Confounding Factor
DS,Nintendo,2008,Oxygen Interactive,0.01,0.02,0.0,0.0,0.03,Will
PS3,Sony,2009,Hudson Soft,0.02,0.0,0.0,0.01,0.03,Other
DS,Nintendo,2008,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2013,Alchemist,0.0,0.0,0.03,0.0,0.03,Other
PS2,Sony,2001,Ubisoft,0.02,0.01,0.0,0.0,0.03,Krome Studios
NG,Other,1995,Hudson Soft,0.0,0.0,0.03,0.0,0.03,Other
DS,Nintendo,2008,Arc System Works,0.0,0.0,0.03,0.0,0.03,Other
PC,Microsoft,2003,Ubisoft,0.0,0.03,0.0,0.01,0.03,Eagle Dynamics
PS,Sony,1998,Gremlin Interactive Ltd,0.02,0.01,0.0,0.0,0.03,Other
Wii,Nintendo,2011,Unknown,0.0,0.03,0.0,0.0,0.03,Other
PSV,Sony,2016,Unknown,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2010,D3Publisher,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2011,Atlus,0.0,0.0,0.03,0.0,0.03,Other
PSP,Sony,2006,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Other
PS4,Sony,2016,Sold Out,0.01,0.02,0.0,0.0,0.03,Team 17
PC,Microsoft,2010,Ubisoft,0.0,0.03,0.0,0.01,0.03,Ubisoft Montreal
GBA,Nintendo,2006,Nintendo,0.0,0.0,0.03,0.0,0.03,Other
